points,first_name
36,Bjørn
36,Eik
36,Markus
36,Patrick
36,Philip
36,Jonas
36,Håvard
36,Marcel
36,Jon-Magnus
35,Simon
35,Marius
35,Erik
34,Georgy
34,Eivind
34,Oskar
34,Imre
34,Petar
34,Edvard
33,Herman
33,Aslak
33,Magnus
33,Ola
33,Philip
33,Jesper
33,Arthur
33,Håvar
33,Noor
33,Carl
33,Andreas
33,Sofie
33,Adrian
33,Martin
33,Joel
33,Malin
33,Oskar
33,John
33,Emil
33,Sondre
32,Aksel
32,Kristoffer
32,Anders
32,Julian
32,Odin
32,Marius
32,Audun
32,Erlend
32,Joachim
32,Ine
32,Jonah
32,Lars
32,Victor
32,Peter
32,Vidar
32,Sindre
32,Thomas
32,Niclas
32,Sander
32,Åsne
32,Oscar
32,Ingrid
31,Dennis
31,Philip
31,Stefan
31,Hedvig
31,Olav
31,Skage
31,Viktor
31,Nancy
31,Rico
31,William
31,Trym
31,Estil
31,Marcus
31,Johannes
31,Knut
31,Wiktor
31,Viljar
31,Tor
31,Trygve
31,Eivind
30,Fredrik
30,Ingrid
30,Mikal
30,Julie
30,Ole
30,Henrik
30,Sindre
30,Fredrik
30,Isak
30,Truls
30,Junus
30,Brage
30,Peter
30,Halvor
30,Mads
30,Maren
30,Olaf
30,Iver
30,Johnny
30,Emil
30,Lars
30,Anders
30,Frederik
30,Kristoffer
30,Emilie
30,Mathias
30,Yan
30,Lise
30,Bjørn
30,Elias
30,Benedikte
30,Eirik
30,Andreas
30,Torkel
30,John
30,Aksel
