points,first_name
92.0,Oskar
88.0,Andreas
87.0,Sigvart
85.0,Marius
85.0,Zezhen
83.0,Erling
83.0,Donny
80.0,Jon
78.0,Alexander
77.0,Luca
77.0,Jun
76.0,Erik
75.0,Anna
75.0,Ulrik
74.0,Daniel
73.0,Weicheng
73.0,Marius
73.0,Ole
73.0,Espen
72.0,Redi
72.0,Emil
71.0,Ayca
71.0,Tobias
71.0,Jonas
70.0,Amund
70.0,Bjørnar
70.0,Yuting
70.0,Aleksander
70.0,Fredrik
70.0,Gulleik
70.0,Lavrans
70.0,Johan
70.0,Eskil
69.0,Nikita
68.0,Espen
67.0,David
67.0,Håvard
66.0,Nils
66.0,Brage
66.0,Johan
65.0,N.N.
65.0,Ida
65.0,Halvor
65.0,N.N.
65.0,Vladislav
65.0,Jon-Magnus
65.0,Nore
65.0,Philip
65.0,Viroshaan
64.0,Jón
64.0,Atle
64.0,Leo
63.0,Kristian
63.0,Johannes
62.0,N.N.
62.0,Frederick
62.0,Oskar
61.0,Endre
61.0,Gunnar
61.0,Petter
61.0,Markus
61.0,Erik
60.0,Christian
60.0,Jostein
60.0,Petter
60.0,Ole
60.0,Kristoffer
60.0,Martin
60.0,Andrea
60.0,Martin
60.0,Benjamin
60.0,Magnus
60.0,Oskar
60.0,BjørnInge
60.0,Elisabeth
60.0,Suxiang
59.0,Nikita
59.0,Marcus
59.0,Pei-Yu
58.0,Alexander
58.0,Preben
58.0,Aksel
58.0,Egil
57.0,Ludvig
57.0,Eirik
57.0,Teodor
57.0,Håvard
57.0,N.N.
57.0,Eirik
57.0,Joong
57.0,Xiangtian
57.0,Halvor
57.0,Laila
57.0,Marcel
56.0,Brage
56.0,Magnus
56.0,Elias
56.0,Trym
56.0,Birk
56.0,Martin
56.0,Anton
55.0,Thomas
55.0,Arthur
55.0,Vegard
55.0,Marie
55.0,Edvard
55.0,Sofie
55.0,Sondre
55.0,Jonas
55.0,Sergei
55.0,Robert
55.0,N.N.
55.0,Ask
55.0,Simon
55.0,Nils
55.0,Thale
55.0,Tryggve
55.0,Elias
55.0,Boye
55.0,Erling
55.0,Håkon
55.0,William
55.0,Tobias
54.0,Nikolai
54.0,Daniel
54.0,Daniel
54.0,Håvard
54.0,Erlend
54.0,Asbjørn
54.0,Leonard
54.0,Simon
54.0,Peter
