points,first_name
26.0,Sondre
26.0,Jon
26.0,Torstein
26.0,Arthur
26.0,Joachim
25.5,Audun
25.0,Arnoldas
24.0,Regina
24.0,Martin
24.0,August
24.0,Petter
24.0,Fredrik
24.0,Henrik
24.0,Carl
24.0,Gard
24.0,Morten
24.0,Gjert
24.0,Tobias
24.0,Ingerid
24.0,Paul
23.0,Birger
23.0,Håkon
23.0,Markus
23.0,Katrine
23.0,Asgeir
23.0,Asbjørn
22.5,Vegard
22.0,Erlend
22.0,Johan
22.0,Viktor
22.0,Øyvind
22.0,Jørgen
21.5,Håvard
21.0,Marek
21.0,Janik
21.0,Tianzhi
21.0,Oddbjørn
21.0,Nicolay
21.0,Bjørn
21.0,Henrik
20.5,Allan
20.5,Synne
20.5,Jon
20.0,Anders
20.0,Hallvard
20.0,Lars
20.0,Konrad
20.0,Petter
20.0,Andreas
20.0,Sondre
20.0,Bendik
20.0,Lars
20.0,Sveinung
20.0,Pål
20.0,Marianna
20.0,Lars
20.0,Åsmund
20.0,Nicolai
19.0,Stian
19.0,Viljar
19.0,Caroline
18.5,Torgeir
18.0,Emil
18.0,Anders
18.0,Bendik
18.0,Kjetil
18.0,Torbjørn
18.0,Erlend
18.0,Fredrik
18.0,Magnus
18.0,Martin
18.0,Peder
18.0,Kristin
18.0,Herman
18.0,Karine
18.0,Stine
17.5,Daniel
17.5,Inge
17.5,Mari
17.0,Ahmed
17.0,Arnt
17.0,Edvard
17.0,Thomas
17.0,Sebastian
17.0,Tord
17.0,Arne
17.0,Vivian
17.0,Ole-Andreas
17.0,Rishi
17.0,Anders
16.0,Tore
16.0,Einar
16.0,Håkon
16.0,Rune
16.0,Pavlo
16.0,Sandra
16.0,Kristian
16.0,Per
16.0,Øyvind
16.0,Fredrik
16.0,Erol
16.0,Johanne
16.0,Ingrid
16.0,Synne
16.0,Håkon
16.0,Isak
16.0,Fredrik
16.0,Ingrid
16.0,Håvard
16.0,Marius
16.0,Trym
16.0,Thomas
16.0,Torstein
16.0,Carl
16.0,Sigurd
15.0,Jarle
15.0,Siri
15.0,Ingeborg
15.0,Mirjam
15.0,Magnus
15.0,Sindre
15.0,Bjørn
15.0,Hallvard
15.0,Roald
15.0,Peter
15.0,Ulrich
15.0,Thanh
15.0,Jørgen
15.0,Duy-Martin
15.0,Paul
15.0,Kristian
15.0,Petter
15.0,Lars
15.0,Nicholas
15.0,Sharukh
15.0,Ludvig
15.0,Erik
15.0,Magnus
15.0,Tine
15.0,Jon
15.0,Ingrid
15.0,Vegard
15.0,Fredrik
15.0,Øivind
15.0,Marius
15.0,Oliver
14.5,Kristoffer
14.5,Lars
14.5,Aleksander
14.0,Didrik
14.0,Ruth
14.0,Mathilde
14.0,Martin
14.0,Vetle
14.0,Mathias
14.0,Chris
14.0,Simen
14.0,Eirik
14.0,Sverre
14.0,Håvard
14.0,Sindre
14.0,Martin
14.0,Per-Christian
14.0,Amanda
14.0,Amanda
14.0,Åsmund
14.0,Ingrid
14.0,Mats
14.0,Håkon
14.0,Bjørnar
14.0,Johanne
14.0,Hannah
14.0,Nicolai
13.5,Julie
13.5,Lars
13.0,Alexander
13.0,Ida
13.0,Ole-Petter
13.0,Stig
13.0,TOBIAS
13.0,Jon
13.0,Guro
13.0,Kristian
13.0,Anna
13.0,Petter
13.0,Hanna
13.0,Joakim
13.0,Catharina
13.0,Sandra
13.0,Halvor
13.0,Halvard
13.0,Åshild
13.0,Kristian
13.0,Christian
13.0,Christoffer
13.0,Edvard
13.0,Espen
13.0,Stine
13.0,Agnes
13.0,Ømer
13.0,Emil
13.0,Nicholas
13.0,Johannes
13.0,Arne
13.0,Andrea
13.0,Magnus
13.0,Fredrik
13.0,Olav
13.0,Gustav
13.0,Ebba
13.0,Frikk
13.0,Bendik
13.0,Anders
13.0,Børge
12.5,Jonatan
12.5,Siren
12.5,Andreas
12.0,Bjarte
12.0,Joakim
12.0,Sindre
12.0,Robin
